pcid,FI,Lead Origin,Country,State,City,Instance,Instance Date,Campaign,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19
72371,11,Online,India,Telangana,Hyderabad,Primary,17-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,20-11-2025 12:56,1,1
72371,11,Online,India,Uttar Pradesh,Agra,Primary,17-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,13-02-2026 11:33,1,1
72371,11,Online,India,Maharashtra,Sangli,Primary,17-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,17-11-2025 12:00,1,1
72371,11,Online,India,Maharashtra,Ratnagiri,Primary,15-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,25-11-2025 20:16,1,1
72371,11,API,India,Gujarat,Ahmedabad,Primary,15-11-2025,collegedunia/182/api_139988732,Moved To Application,Unverified,,PGDM,Specialization Not Available,University Not Available,30-12-2025 00:20,1,1
72371,11,API,India,Rajasthan,Alwar,Primary,14-11-2025,collegedunia/272/api_140064009,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,15-01-2026 16:13,1,1
72371,11,Online,India,Telangana,Hyderabad,Primary,13-11-2025,collegedunia/CDC/online,Closed,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,06-12-2025 13:03,1,1
72371,11,Online,India,Assam,Dhula,Primary,13-11-2025,collegedunia/CDC/online,Closed,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,02-12-2025 11:19,1,1
72371,11,Online,India,Uttar Pradesh,Kanpur Nagar,Primary,13-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Mobile,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,13-11-2025 18:01,1,1
72371,11,Online,India,Odisha,Bhubaneswar,Primary,13-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,05-12-2025 12:23,1,1
72371,11,API,India,Rajasthan,Baran,Primary,09-11-2025,collegedunia/271/api_140020530,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,11-11-2025 15:12,1,1
72371,11,Online,India,Uttar Pradesh,Bharthana,Primary,07-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,11-12-2025 15:09,1,1
72371,11,API,India,Rajasthan,Udaipur,Primary,03-11-2025,collegedunia/272/api_139986519,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,17-01-2026 11:08,1,1
72371,11,API,India,Rajasthan,Jaipur,Primary,29-10-2025,collegedunia/270/api_139958052,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,31-10-2025 20:09,1,1
72371,11,API,India,Maharashtra,Ratnagiri,Primary,27-10-2025,collegedunia/268/api_139532299,Moved To Application,Verified,,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,06-11-2025 19:39,1,1
72371,11,API,India,Rajasthan,Jaipur,Primary,25-10-2025,collegedunia/271/api_139703876,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,28-12-2025 16:37,1,1
72371,11,API,India,Madhya Pradesh,Hoshangabad,Primary,25-10-2025,collegedunia/270/api_139573392,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,11-11-2025 12:15,1,1
72371,11,API,India,Uttar Pradesh,Muzaffarnagar,Primary,24-10-2025,collegedunia/268/api_139600146,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,11-11-2025 16:06,1,1
72371,11,API,India,Rajasthan,Jaipur,Primary,22-10-2025,collegedunia/270/api_139786037,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,11-11-2025 13:36,1,1
72371,11,API,India,Rajasthan,Bikaner,Primary,21-10-2025,collegedunia/270/api_139786069,Closed,Verified,,PGDM,Specialization Not Available,University Not Available,13-11-2025 17:46,1,1
72371,11,API,India,Uttar Pradesh,Kanpur,Primary,21-10-2025,collegedunia/270/api_139786070,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,23-12-2025 15:02,2,1
72371,11,API,India,Bihar,Dehri,Primary,19-10-2025,collegedunia/270/api_139814320,Moved To Application,Verified,,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,15-11-2025 10:55,1,1
72371,11,API,India,Maharashtra,Jalna,Primary,18-10-2025,collegedunia/272/api_139919265,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,15-11-2025 11:41,1,1
72371,11,API,India,Rajasthan,Jaipur,Primary,17-10-2025,collegedunia/272/api_139883163,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,22-12-2025 19:39,1,1
72371,11,API,India,Maharashtra,Pune,Primary,16-10-2025,collegedunia/272/api_139887201,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,02-11-2025 13:59,1,1
72371,11,API,India,Rajasthan,Ajmer,Primary,16-10-2025,collegedunia/271/api_139909819,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,29-12-2025 17:50,1,1
72371,11,API,India,Madhya Pradesh,Indore,Primary,15-10-2025,collegedunia/272/api_139887219,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,06-11-2025 17:10,1,1
72371,11,API,India,Madhya Pradesh,Chhindwara,Primary,12-10-2025,collegedunia/272/api_139888617,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,16-03-2026 14:55,1,1
72371,11,API,India,Uttar Pradesh,Varanasi,Primary,09-10-2025,collegedunia/270/api_139121020,Moved To Application,Unverified,,PGDM,Specialization Not Available,University Not Available,27-12-2025 13:48,1,1
72371,11,API,India,Madhya Pradesh,Katni,Primary,08-10-2025,collegedunia/272/api_139737855,Moved To Application,Verified,,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,24-11-2025 14:28,1,1
